,Unnamed: 0,zipcode,unleashed,barking,poop,violation,nameone,nametwo,namethree,namefour,namefive,dognumber,breedone,breedtwo,breedthree,breedfour,breedfive,colorone,colortwo,colorthree,colorfour,colorfive,nameonenum,nametwonum,namethreenum,namefournum,namefivenum,breedonenum,breedtwonum,breedthreenum,breedfournum,breedfivenum,coloronenum,colortwonum,colorthreenum,colorfournum,colorfivenum,Fnum,Mnum,Fnameone,Fnametwo,Fnamethree,Fbreedone,Fbreedtwo,Fbreedthree,Fcolorone,Fcolortwo,Fcolorthree,Mnameone,Mnametwo,Mnamethree,Mbreedone,Mbreedtwo,Mbreedthree,Mcolorone,Mcolortwo,Mcolorthree,Fnameonenum,Fnametwonum,Fnamethreenum,Fbreedonenum,Fbreedtwonum,Fbreedthreenum,Fcoloronenum,Fcolortwonum,Fcolorthreenum,Mnameonenum,Mnametwonum,Mnamethreenum,Mbreedonenum,Mbreedtwonum,Mbreedthreenum,Mcoloronenum,Mcolortwonum,Mcolorthreenum,Fneuterednum,Mneuterednum,Fvaccinatednum,Mvaccinatednum,Fnamefour,Fnamefournum,Fnamefive,Fnamefivenum,Fbreedfour,Fbreedfournum,Fbreedfive,Fbreedfivenum,Fcolorfour,Fcolorfournum,Fcolorfive,Fcolorfivenum,Mnamefour,Mnamefournum,Mnamefive,Mnamefivenum,Mbreedfour,Mbreedfournum,Mbreedfive,Mbreedfivenum,Mcolorfour,Mcolorfournum,Mcolorfive,Mcolorfivenum,Vaccinated,Neutered,COCO,MAX,BELLA,SHIH,CHIHUAHUA,YORKSHIRE,BROWN,WHITE,BLACK
10,10,10011,37.0,422.0,3.0,31.0,Lily,Lola,Stella,Charlie,Sofie,1343.0,Chihuahua,Shih Tzu,"Bull Dog, French",Yorkshire Terrier,Labrador Retriever,Black,White,Brown,Tan,Blond,18.0,14.0,12.0,12.0,11.0,77.0,50.0,50.0,50.0,46.0,339.0,297.0,140.0,137.0,65.0,634.0,709.0,Lily,Lola,Stella,Chihuahua,Labrador Retriever,Shih Tzu,Black,White,Brown,Henry,Max,Murphy,Chihuahua,Yorkshire Terrier,Shih Tzu,Black,White,Tan,18.0,14.0,12.0,36.0,27.0,21.0,158.0,143.0,67.0,9.0,8.0,8.0,41.0,30.0,29.0,181.0,154.0,80.0,561.0,585.0,534.0,582.0,Sofie,11.0,Maggie,10.0,"Bull Dog, French",21.0,Yorkshire Terrier,20.0,Tan,57.0,Blond,34.0,Charlie,8.0,Oliver,7.0,"Bull Dog, French",29.0,Cavalier King Charles Spaniel,24.0,Brown,73.0,Red,36.0,1116.0,1146.0,8,8,9,50,77,50,140,297,339
11,11,10012,19.0,85.0,2.0,14.0,Oliver,Lola,Cooper,Charlie,Penny,532.0,Labrador Retriever,Yorkshire Terrier,Chihuahua,Labrador Retriever Crossbreed,"Bull Dog, French",Black,White,Brown,Tan,Blond,6.0,6.0,5.0,5.0,4.0,32.0,22.0,20.0,19.0,18.0,162.0,99.0,54.0,39.0,26.0,244.0,288.0,Lola,Penny,Layla,Chihuahua,Labrador Retriever,Yorkshire Terrier,Black,White,Brown,Oliver,Cooper,Buster,Labrador Retriever,"Bull Dog, French",Golden Retriever,Black,White,Brown,6.0,4.0,4.0,13.0,13.0,11.0,76.0,48.0,21.0,6.0,5.0,4.0,19.0,14.0,12.0,86.0,51.0,33.0,221.0,232.0,211.0,250.0,Bella,3.0,Sofie,3.0,Labrador Retriever Crossbreed,10.0,Cavalier King Charles Spaniel,8.0,Tan,19.0,Gray,15.0,Bear,4.0,Charlie,4.0,Yorkshire Terrier,11.0,Havanese,10.0,Tan,20.0,Brindle,16.0,461.0,453.0,2,3,3,12,20,22,54,99,162
12,12,10013,11.0,46.0,3.0,10.0,Charlie,Mollie,Penny,Zoe,Oliver,437.0,Labrador Retriever,"Bull Dog, French",Golden Retriever,Havanese,Labrador Retriever Crossbreed,Black,White,Brown,Tan,Blond,6.0,5.0,5.0,4.0,4.0,25.0,20.0,18.0,16.0,14.0,123.0,91.0,41.0,37.0,22.0,204.0,233.0,Penny,Mollie,Zoe,Labrador Retriever,"Bull Dog, French",Havanese,Black,White,Brown,Charlie,Oliver,Jax,Labrador Retriever,Golden Retriever,"Bull Dog, French",Black,White,Brown,5.0,5.0,4.0,11.0,10.0,8.0,58.0,49.0,19.0,5.0,4.0,3.0,14.0,11.0,10.0,65.0,42.0,22.0,180.0,191.0,171.0,196.0,Ginger,4.0,Bella,3.0,Maltese,7.0,Golden Retriever,7.0,Tan,17.0,Red,9.0,Tobby,3.0,Walter,3.0,Havanese,8.0,Labrador Retriever Crossbreed,8.0,Tan,20.0,Blond,14.0,367.0,371.0,0,3,3,4,8,7,41,91,123
13,13,10014,21.0,205.0,0.0,18.0,Lucy,Stella,Lola,Max,Charlie,912.0,Labrador Retriever,"Bull Dog, French",Yorkshire Terrier,Chihuahua,Shih Tzu,Black,White,Brown,Tan,Blond,12.0,9.0,9.0,8.0,8.0,49.0,46.0,33.0,31.0,26.0,283.0,150.0,90.0,84.0,53.0,434.0,478.0,Lucy,Stella,Lola,Labrador Retriever,"Bull Dog, French",Yorkshire Terrier,Black,White,Brown,Max,Oliver,Oscar,"Bull Dog, French",Labrador Retriever,Shih Tzu,Black,White,Tan,12.0,9.0,9.0,23.0,18.0,18.0,145.0,66.0,44.0,8.0,6.0,6.0,28.0,26.0,19.0,138.0,84.0,51.0,370.0,393.0,357.0,394.0,Daisy,6.0,Ruby,6.0,Chihuahua,15.0,Maltese,14.0,Blond,36.0,Tan,33.0,Jack,6.0,Buddy,5.0,"Poodle, Miniature",17.0,Chihuahua,16.0,Brown,46.0,Red,24.0,751.0,763.0,4,8,2,26,31,33,90,150,283
14,14,10016,19.0,242.0,1.0,28.0,Charlie,Lucy,Coco,Lola,Max,666.0,Shih Tzu,Yorkshire Terrier,Maltese,Chihuahua,"Bull Dog, French",Black,White,Brown,Tan,Red,11.0,9.0,7.0,7.0,6.0,39.0,37.0,27.0,23.0,21.0,184.0,158.0,63.0,63.0,26.0,283.0,383.0,Lucy,Lola,Daisy,Shih Tzu,Yorkshire Terrier,"Bull Dog, French",Black,White,Tan,Charlie,Ozzie,Max,Yorkshire Terrier,Shih Tzu,Maltese,Black,White,Brown,9.0,7.0,5.0,19.0,14.0,12.0,84.0,60.0,28.0,9.0,6.0,6.0,23.0,20.0,15.0,100.0,98.0,37.0,245.0,315.0,241.0,328.0,Lexi,5.0,Bella,4.0,Maltese,12.0,Chihuahua,11.0,Brown,26.0,Fawn,10.0,Jack,6.0,Winston,5.0,Chihuahua,12.0,Havanese,11.0,Tan,35.0,Red,17.0,569.0,560.0,7,6,4,39,23,37,63,158,184
15,15,10017,25.0,68.0,0.0,3.0,Bella,Coco,Ruby,Buddy,Teddy,220.0,Chihuahua,Havanese,Labrador Retriever,Shih Tzu,Cocker Spaniel,Black,White,Tan,Brown,Blond,6.0,4.0,4.0,3.0,3.0,25.0,14.0,9.0,8.0,7.0,65.0,47.0,23.0,19.0,15.0,101.0,119.0,Bella,Ruby,Coco,Chihuahua,Labrador Retriever,Havanese,Black,White,Brown,Buddy,Teddy,Brutus,Chihuahua,Havanese,Cocker Spaniel,Black,White,Tan,6.0,4.0,3.0,14.0,6.0,5.0,32.0,18.0,10.0,3.0,3.0,2.0,11.0,9.0,6.0,33.0,29.0,14.0,92.0,101.0,84.0,104.0,Lucy,3.0,Lola,2.0,Shih Tzu,4.0,Yorkshire Terrier,4.0,Tan,9.0,Blond,6.0,Franklin,2.0,Tobby,2.0,Maltese,5.0,Bichon Frise,4.0,Brown,9.0,Blond,9.0,188.0,193.0,4,0,6,8,25,6,19,47,65
16,16,10018,2.0,18.0,0.0,7.0,Lola,Mali,Cooper,Jackson,Teddy,164.0,Yorkshire Terrier,Maltese,Shih Tzu,"Bull Dog, French",Labrador Retriever,Black,White,Fawn,Red,Brown,3.0,2.0,2.0,2.0,2.0,16.0,11.0,7.0,6.0,6.0,37.0,32.0,15.0,11.0,10.0,69.0,95.0,Lola,Mali,Ruby,Yorkshire Terrier,Maltese,Labrador Retriever,Black,White,Red,Duke,Hudson,Teddy,Yorkshire Terrier,Shih Tzu,Maltese,Black,White,Fawn,3.0,2.0,2.0,7.0,5.0,4.0,15.0,12.0,6.0,2.0,2.0,2.0,9.0,6.0,6.0,22.0,20.0,10.0,48.0,66.0,54.0,76.0,Coco,2.0,Muffin,1.0,Chihuahua,3.0,"Bull Dog, French",3.0,Fawn,5.0,Brown,4.0,James,2.0,Cooper,2.0,Pug,4.0,"Schnauzer, Miniature",3.0,Brown,6.0,Blond,5.0,130.0,114.0,2,1,0,7,5,16,10,32,37
17,17,10019,21.0,154.0,3.0,37.0,Max,Lucy,Charlie,Henry,Bailey,780.0,Chihuahua,Maltese,Yorkshire Terrier,Shih Tzu,Labrador Retriever,Black,White,Tan,Brown,Blond,11.0,10.0,10.0,7.0,7.0,50.0,41.0,38.0,34.0,25.0,225.0,178.0,72.0,68.0,47.0,340.0,440.0,Lucy,Bella,Sofie,Chihuahua,Yorkshire Terrier,Shih Tzu,Black,White,Tan,Max,Charlie,Henry,Chihuahua,Maltese,Yorkshire Terrier,Black,White,Tan,10.0,6.0,6.0,22.0,17.0,16.0,114.0,74.0,32.0,11.0,10.0,7.0,28.0,28.0,21.0,111.0,104.0,40.0,293.0,368.0,296.0,400.0,Daisy,5.0,Sadie,4.0,Maltese,13.0,Labrador Retriever Crossbreed,12.0,Brown,31.0,Blond,15.0,Oscar,6.0,Bailey,5.0,Shih Tzu,18.0,Labrador Retriever,15.0,Brown,37.0,Blond,32.0,696.0,661.0,4,11,6,34,50,38,68,178,225
18,18,10020,0.0,0.0,0.0,0.0,Fantastic,Dexter,Brue,Nicolette,Tobby,5.0,Whippet,Shih Tzu,Cocker Spaniel,Pomeranian,Golden Retriever,Tan,Brindle,White,Gold,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,Fantastic,Nicolette,Brue,Shih Tzu,Cocker Spaniel,Whippet,Brindle,Tan,White,Dexter,Tobby,,Golden Retriever,Pomeranian,,Tan,Gold,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,4.0,4.0,0,0,0,1,0,0,0,1,0
19,19,10021,98.0,205.0,15.0,13.0,Bella,Max,Lucy,Coco,Charlie,1002.0,Shih Tzu,Havanese,Maltese,Yorkshire Terrier,Cocker Spaniel,White,Black,Brown,Blond,Tan,16.0,14.0,13.0,12.0,11.0,69.0,61.0,47.0,38.0,37.0,252.0,249.0,89.0,88.0,78.0,517.0,483.0,Bella,Lucy,Coco,Shih Tzu,Maltese,Havanese,Black,White,Brown,Max,Charlie,Oliver,Havanese,Shih Tzu,Labrador Retriever,White,Black,Brown,16.0,13.0,12.0,35.0,31.0,24.0,134.0,129.0,45.0,14.0,10.0,9.0,36.0,34.0,17.0,123.0,114.0,44.0,448.0,415.0,426.0,421.0,Stella,8.0,Sofie,8.0,Cocker Spaniel,22.0,Yorkshire Terrier,21.0,Blond,45.0,Tan,37.0,Teddy,7.0,Sammy,6.0,Yorkshire Terrier,17.0,Golden Retriever,16.0,Blond,43.0,Tan,41.0,847.0,863.0,12,14,16,69,25,38,89,252,249
20,20,10022,20.0,138.0,0.0,14.0,Sofie,Lola,Max,Charlie,Bailey,687.0,Yorkshire Terrier,Maltese,Shih Tzu,Havanese,Cavalier King Charles Spaniel,Black,White,Brown,Tan,Blond,14.0,9.0,8.0,8.0,8.0,43.0,43.0,36.0,34.0,33.0,191.0,174.0,71.0,48.0,41.0,340.0,347.0,Sofie,Lola,Bella,Maltese,Yorkshire Terrier,Shih Tzu,Black,White,Brown,Max,Bailey,Oscar,Yorkshire Terrier,Shih Tzu,Havanese,Black,White,Brown,14.0,9.0,6.0,26.0,23.0,18.0,92.0,87.0,38.0,8.0,8.0,7.0,20.0,18.0,18.0,99.0,87.0,33.0,298.0,290.0,289.0,293.0,Chloe,6.0,Lily,5.0,Cavalier King Charles Spaniel,17.0,Havanese,16.0,Tan,23.0,Blond,20.0,Henry,7.0,Charlie,7.0,"Bull Dog, French",17.0,Maltese,17.0,Tan,25.0,Blond,21.0,582.0,588.0,3,8,6,36,20,43,71,174,191
21,21,10023,146.0,338.0,6.0,52.0,Charlie,Lola,Lily,Teddy,Sadie,1443.0,Labrador Retriever,Shih Tzu,Yorkshire Terrier,Havanese,Maltese,Black,White,Brown,Tan,Blond,19.0,16.0,16.0,13.0,13.0,86.0,66.0,57.0,52.0,47.0,370.0,320.0,145.0,141.0,104.0,676.0,767.0,Lola,Lily,Sadie,Labrador Retriever,Shih Tzu,Yorkshire Terrier,Black,White,Tan,Charlie,Teddy,Max,Labrador Retriever,Shih Tzu,Yorkshire Terrier,Black,White,Brown,16.0,16.0,13.0,44.0,30.0,24.0,154.0,147.0,79.0,15.0,12.0,11.0,42.0,36.0,33.0,216.0,173.0,80.0,609.0,677.0,607.0,709.0,Sofie,12.0,Lucy,11.0,Cocker Spaniel,23.0,Labrador Retriever Crossbreed,23.0,Brown,65.0,Blond,64.0,Henry,11.0,Oliver,10.0,Maltese,32.0,Havanese,30.0,Tan,62.0,Blond,40.0,1316.0,1286.0,11,11,9,66,45,57,145,320,370
22,22,10024,85.0,274.0,4.0,62.0,Lola,Lucy,Charlie,Daisy,Lily,1514.0,Labrador Retriever,Havanese,Golden Retriever,Maltese,Labrador Retriever Crossbreed,Black,White,Brown,Tan,Blond,20.0,18.0,18.0,16.0,15.0,99.0,60.0,52.0,51.0,47.0,428.0,294.0,185.0,144.0,113.0,712.0,802.0,Lola,Lucy,Daisy,Labrador Retriever,Labrador Retriever Crossbreed,Havanese,Black,White,Brown,Charlie,Buddy,Teddy,Labrador Retriever,Havanese,Shih Tzu,Black,White,Brown,20.0,18.0,16.0,52.0,28.0,27.0,212.0,138.0,81.0,17.0,9.0,9.0,47.0,33.0,28.0,216.0,156.0,104.0,664.0,720.0,655.0,729.0,Lily,15.0,Stella,12.0,Golden Retriever,27.0,Cocker Spaniel,26.0,Blond,58.0,Tan,53.0,Max,8.0,Henry,8.0,Maltese,28.0,Chihuahua,25.0,Tan,91.0,Blond,55.0,1384.0,1384.0,7,8,9,44,38,41,185,294,428
23,23,10025,49.0,457.0,6.0,86.0,Lucy,Max,Bella,Mollie,Hudson,1897.0,Labrador Retriever,Chihuahua,Maltese,Mixed,Shih Tzu,Black,White,Tan,Brown,Blond,26.0,17.0,16.0,15.0,14.0,109.0,78.0,61.0,61.0,55.0,555.0,355.0,214.0,198.0,120.0,917.0,980.0,Lucy,Bella,Mollie,Labrador Retriever,Chihuahua,Mixed,Black,White,Brown,Max,Hudson,Charlie,Labrador Retriever,Chihuahua,Maltese,Black,White,Tan,26.0,16.0,15.0,62.0,38.0,37.0,265.0,168.0,103.0,17.0,13.0,12.0,47.0,40.0,32.0,290.0,187.0,116.0,843.0,871.0,826.0,889.0,Rosie,12.0,Daisy,12.0,Maltese,29.0,Shih Tzu,26.0,Tan,98.0,Blond,67.0,Henry,9.0,Jasper,9.0,Havanese,31.0,Yorkshire Terrier,30.0,Brown,95.0,Blond,53.0,1715.0,1714.0,9,17,16,55,78,50,198,355,555
24,24,10026,33.0,158.0,2.0,59.0,Max,Oreo,Bella,Charlie,Sofie,307.0,Yorkshire Terrier,Chihuahua,American Pit Bull Terrier,Shih Tzu,American Pit Bull Terrier Crossbreed,Black,White,Brown,Tan,Blond,6.0,4.0,4.0,4.0,3.0,26.0,17.0,17.0,16.0,13.0,88.0,65.0,36.0,32.0,11.0,131.0,176.0,Bella,Sofie,Maggie,Yorkshire Terrier,Shih Tzu,American Pit Bull Terrier Crossbreed,Black,White,Brown,Max,Charlie,Oreo,Yorkshire Terrier,Chihuahua,American Pit Bull Terrier,Black,White,Tan,4.0,3.0,3.0,10.0,8.0,8.0,42.0,28.0,19.0,6.0,4.0,3.0,16.0,10.0,9.0,46.0,37.0,21.0,109.0,149.0,119.0,151.0,Mia,2.0,Summer,2.0,American Pit Bull Terrier,8.0,Chihuahua,7.0,Tan,11.0,Gray,5.0,Eddie,3.0,Teddy,3.0,Shih Tzu,8.0,Labrador Retriever,7.0,Brown,17.0,Blond,9.0,270.0,258.0,3,6,4,16,17,26,36,65,88
